Freq: 0, terno [22,55,81], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [31,65,75], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [22,61,71], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [29,47,84], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [04,48,55], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [05,15,26], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [17,31,62], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [16,26,72], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [18,40,63], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [41,65,88], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [25,77,88], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [34,41,75], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [32,44,84], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [29,46,70], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [16,44,49], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [04,16,31], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [09,42,65], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [10,26,54], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [02,41,64], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [03,35,68], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [08,29,79], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [23,32,61], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [20,50,53], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [21,39,67], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [27,53,86], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [14,47,72], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [01,10,12], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [27,73,90], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [05,20,40], data 0000-00-00 Ruota: FIRENZE
Freq: 0, terno [04,56,71], data 0000-00-00 Ruota: FIRENZE
